R_D,IG_TS,OG_TS,TRK_ID,TRK_KEY,CHASSIS_NO,BAT_NO,ITEM_NO,ISO,OPERATION_METHOD,EIR_ID,LANE_NO_IN,LANE_NO_OUT
R,45474.030752314815,45474.03716435185,50H25607,25735856,51R19571,25607,SEGU2461905,2200,HBCX,R38606126,A02,A05
R,45474.03097222222,45474.05662037037,62F00258,25735857,51R20048,00258,SEGU2122310,2200,HBCX,R38606253,B04,E01
D,45474.03121527778,45474.087916666664,50H05257,25735858,50R04978,05257,MAGU2509727,2200,GTHA,D38606255,B04,B08
R,45474.03126157408,45474.036990740744,50H29395,25735859,51R09092,29395,BEAU4004423,4500,HBCX,R38606256,A02,B08
D,45474.03135416667,45474.049722222226,50H24575,25735860,60R04731,24575,SEGU4784511,4500,GTHA,D38606257,G02,A05
D,45474.03145833333,45474.04827546296,51C88663,25735861,51R32926,88663,TEMU5031210,2200,GTHA,D38606258,A02,B08
R,45474.03157407408,45474.039872685185,70C10338,25735862,70R01246,10338,CBHU4358397,2200,HBCX,R38606259,B04,E01
R,45474.031747685185,45474.05918981481,60C34076,25735863,60R02695,34076,WHSU6196258,4500,HBCX,R38606260,B04,G04
D,45474.031747685185,45474.05918981481,60C34076,25735863,60R02695,34076,ONEU1576975,4500,GTHA,D38606262,B04,G04
D,45474.031805555554,45474.042083333334,61C19875,25735864,50R01615,19875,EMCU6172703,2200,GTHA,D38606261,G02,G04
R,45474.032222222224,45474.03790509259,70C06420,25735865,70R00898,06420,OOCU8448944,4500,HBCX,R38606265,B04,B08
D,45474.032222222224,45474.04314814815,51D37659,25735866,51R13261,37659,SKLU1525952,2200,GTHA,D38606264,A02,A05
R,45474.03241898148,45474.04157407407,61H07890,25735867,60R00782,07890,NSSU7105379,4500,HBCX,R38606266,A02,B08
D,45474.03246527778,45474.039293981485,61H05723,25735868,,05723,WHLU0631882,2200,CAPR,E38606247,E04,E01
D,45474.03246527778,45474.039293981485,61H05723,25735868,,05723,WHLU0703956,2200,CAPR,E38606249,E04,E01
D,45474.03265046296,45474.047060185185,50H17559,25735869,51R24787,17559,GLDU9545213,2200,GTHA,D38606267,B04,B08
D,45474.03296296296,45474.04766203704,50H15416,25735870,51R01532,15416,BHCU5028447,4500,GTHA,D38606268,A02,A05
R,45474.033321759256,45474.042083333334,50H24802,25735871,50RM00101,24802,TEMU1629159,2200,HBCX,R38606269,B04,E01
R,45474.033587962964,45474.090775462966,60C28898,25735872,60R02292,28898,TEMU8817116,4500,HBCX,R38606270,A02,G04
D,45474.033587962964,45474.090775462966,60C28898,25735872,60R02292,28898,CXDU1066493,2200,GTHA,D38606271,A02,G04
R,45474.03399305556,45474.04037037037,50H21224,25735873,51R17367,21224,TRLU9738559,2200,HBCX,R38606272,A02,B08
R,45474.034467592595,45474.04096064815,68H01043,25735874,68R00097,01043,TCLU6441439,4500,HBCX,R38606224,E04,E01
D,45474.03454861111,45474.046435185184,50H45685,25735875,50RM03188,45685,FFAU3230210,4500,GTHA,D38606274,E04,G04
R,45474.0346412037,45474.043657407405,60C41007,25735876,60R03250,41007,WHLU0484586,2200,HBCX,R38606275,B04,B08
R,45474.03491898148,45474.067083333335,50H02101,25735877,,02101,TCKU1102672,2200,NHAR,R38606254,E04,G04
R,45474.03491898148,45474.067083333335,50H02101,25735877,,02101,MRKU6913905,2200,NHAR,R38606252,E04,G04
