R_D,IG_TS,OG_TS,TRK_ID,TRK_KEY,CHASSIS_NO,BAT_NO,ITEM_NO,ISO,OPERATION_METHOD,EIR_ID,LANE_NO_IN,LANE_NO_OUT
R,45597.01086805556,45597.04997685185,50H45677,26882753,50R00945,45677,FBIU5237903,4530,HBCX,R40434140,D02,G04
D,45597.01086805556,45597.04997685185,50H45677,26882753,50R00945,45677,OERU4176050,4530,GTHA,D40434144,D02,G04
D,45597.01091435185,45597.045902777776,SC-25,26882754,51R12315,53799,FBLU0242706,4500,GTHA,D40434148,B02,B08
R,45597.01091435185,45597.045902777776,SC-25,26882754,51R12315,53799,REGU5161979,4500,HANG,R40434142,B02,B08
R,45597.01105324074,45597.240960648145,51D46837,26882755,51R11931,46837,TGHU6338245,4500,HBCX,R40434143,B03,B04
D,45597.01105324074,45597.240960648145,51D46837,26882755,51R11931,46837,HLBU9974612,4530,CAPR,E40434425,B03,B04
D,45597.01111111111,45597.036469907405,61H05764,26882756,51R06771,05764,WHSU6975710,4500,GTHA,D40434141,A01,B09
D,45597.011145833334,45597.043807870374,61H01189,26882757,61R04147,01189,IAAU1696053,4500,GTHA,D40434147,B05,B09
R,45597.011145833334,45597.043807870374,61H01189,26882757,61R04147,01189,MRSU6077639,4500,HBCX,R40434146,B05,B09
R,45597.01125,45597.02297453704,70H04409,26882758,70R02445,04409,TRHU1601108,2200,HBCX,R40434145,A01,A06
R,45597.01143518519,45597.047418981485,50H12402,26882759,61R05835,12402,SITU9133948,4500,HBCX,R40434151,B05,A06
R,45597.01152777778,45597.08677083333,51C77645,26882760,51R07607,77645,TLLU5142663,4500,HBCX,R40434161,G02,A05
D,45597.01152777778,45597.08677083333,51C77645,26882760,51R07607,77645,NYKU3571506,2200,GTHA,D40434149,G02,A05
D,45597.01159722222,45597.04174768519,50H24800,26882761,51R09404,24800,TRHU3529785,2200,GTHA,D40434150,E02,B09
R,45597.01159722222,45597.04174768519,50H24800,26882761,51R09404,24800,WHSU5032347,4500,NHAR,R40434125,E02,B09
D,45597.011666666665,45597.029027777775,50H44531,26882762,51R30155,44531,PHRU2610836,2200,GTHA,D40434154,B02,B08
D,45597.01168981481,45597.05873842593,50H56695,26882763,50R04982,56695,CMAU2141276,2200,CAPR,E40434773,G02,E09
R,45597.01168981481,45597.05873842593,50H56695,26882763,50R04982,56695,CMAU2072350,2200,HBCX,R40434155,G02,E09
D,45597.01168981481,45597.05873842593,50H56695,26882763,50R04982,56695,GLDU5330500,2200,CAPR,E40434777,G02,E09
R,45597.01170138889,45597.032546296294,50H22847,26882764,51R50551,22847,OOLU0875648,2200,HBCX,R40434156,B05,G04
D,45597.01181712963,45597.02685185185,50H15025,26882765,51R04379,15025,CMAU7383971,4500,GTHA,D40434152,A01,B08
R,45597.01188657407,45597.02961805555,50H25252,26882766,50RM04042,25252,OBLU3323797,2200,HBCX,R40434157,A01,A05
R,45597.012025462966,45597.028402777774,65C13027,26882767,65R00671,13027,REGU5133508,4500,HBCX,R40434153,A03,E09
D,45597.01206018519,45597.03579861111,61H11952,26882768,61R04662,11952,TRHU6736810,4500,GTHA,D40434158,B03,E09
D,45597.01212962963,45597.02923611111,51C45366,26882769,70R01367,45366,TCKU7868407,4500,GTHA,D40434160,B02,B09
D,45597.012453703705,45597.030497685184,50H17523,26882770,50R03908,17523,SEKU6324490,4500,GTHA,D40434164,B02,B08
R,45597.0125,45597.03084490741,51C76960,26882771,50R04494,76960,TCLU9647167,4500,HBCX,R40434167,A03,A06
D,45597.01252314815,45597.03293981482,51D65374,26882772,51R50017,65374,SKLU1824378,2200,GTHA,D40434163,A01,B09
D,45597.01252314815,45597.02690972222,51D38273,26882773,61R05577,38273,FCIU5319860,2200,GTHA,D40434165,B05,B09
D,45597.01267361111,45597.033900462964,50H20409,26882774,51R17125,20409,TXGU5508060,4500,GTHA,D40434166,A01,B08
R,45597.0128587963,45597.029270833336,50H14966,26882775,51R26637,14966,MRKU8956866,2200,HBCX,R40434174,A01,B09
D,45597.01289351852,45597.05006944444,50H45532,26882776,50RM03539,45532,KMTU9310279,4500,GTHA,D40434170,B03,A06
D,45597.01290509259,45597.06105324074,51C98710,26882777,50RM03734,98710,SMCU1040190,4500,GTQC,D40434171,A03,A06
R,45597.01304398148,45597.03853009259,51C16307,26882778,50RM00699,16307,ZCSU6550811,4500,HBCX,R40434173,B03,G04
D,45597.01331018518,45597.02679398148,50H05764,26882779,51R12051,.05764,APZU3705333,2200,GTHA,D40434176,D02,A06
R,45597.013402777775,45597.03864583333,51D10031,26882780,51R33859,10031,TCNU4343343,4500,HBCX,R40434178,B05,B08
R,45597.01347222222,45597.03089120371,51C85148,26882781,51R04805,85148,WHSU5204615,4500,HBCX,R40434179,B03,A05
R,45597.01362268518,45597.04403935185,77C18200,26882782,,18200,UETU2485556,2200,NHAR,R40434159,E02,G04
D,45597.01366898148,45597.02511574074,57L7888,26882783,51R09213,L7888,HLBU2484737,4500,GTHA,D40434180,A01,B08
