R_D,IG_TS,OG_TS,TRK_ID,TRK_KEY,CHASSIS_NO,BAT_NO,ITEM_NO,ISO,OPERATION_METHOD,EIR_ID,LANE_NO_IN,LANE_NO_OUT
R,45536.01642361111,45536.02625,29E06640,26323912,29R40446,06640,SPRU8612049,4500,HBCX,R39539229,B04,B08
D,45536.016435185185,45536.018599537034,51C40149,26323913,,40149,BMOU5021754,4500,CAPR,E39539212,E02,E10
R,45536.016435185185,45536.03013888889,93H01218,26323914,93R00980,01218,IAAU2801153,2200,HBQC,R39539023,B02,E10
R,45536.01644675926,45536.038773148146,51C76436,26323915,,76436,NBYU4006312,4200,NHAR,R39539215,E04,E10
R,45536.0165162037,45536.023888888885,50H01753,26323916,70R01814,01753,CAAU6500722,4500,HBCX,R39539230,A03,B08
R,45536.01665509259,45536.02585648148,93H01177,26323917,50R04775,01177,IAAU2753435,2200,HBQC,R39538687,B02,E10
R,45536.01679398148,45536.03258101852,50H06626,26323918,50RM02878,06626,EMCU9805868,4500,HBCX,R39539232,B02,G04
D,45536.01695601852,45536.02310185185,51D12051,26323919,51R12044,12051,PIDU4217152,4500,GTHA,D39539231,A02,A05
R,45536.01704861111,45536.03094907408,50H43109,26323920,51R01420,43109,MRSU3501527,4500,HBCX,R39539235,B02,B08
R,45536.01709490741,45536.05436342592,51D13656,26323921,51R24335,13656,SEKU9106492,4530,HBQC,R39539236,D02,B08
R,45536.01729166666,45536.05951388889,51C54316,26323922,51R31301,54316,MSKU9235700,4500,HBCX,R39539238,B02,B08
R,45536.01734953704,45536.02762731481,50H25685,26323923,51R25261,25685,NSSU7131064,4500,HBCX,R39539239,B04,B08
D,45536.01740740741,45536.04083333333,51D32741,26323924,51R26168,32741,YMMU6014082,4500,GTHA,D39539237,G02,G04
R,45536.01752314815,45536.03493055556,50H17706,26323925,51R23920,17706,MRKU4876021,4500,HBCX,R39539240,A02,E10
D,45536.01755787037,45536.02819444444,50H03625,26323926,50R01850,03625,MRKU3428742,4500,GTHA,D39539234,A02,A05
R,45536.01762731482,45536.02459490741,93C11194,26323927,93R00765,11194,OOLU1382395,2200,HBCX,R39539242,A03,A05
R,45536.0177662037,45536.02767361111,50H01490,26323928,51R10074,01490,NSSU0096300,2200,HBCX,R39539243,A03,A05
R,45536.01814814815,45536.031851851854,50H03660,26323929,,03660,TGBU5401336,4500,NHAR,R39539233,E02,G04
R,45536.01818287037,45536.033900462964,93H01287,26323930,93R00786,01287,IAAU2832093,2200,HBQC,R39538558,A02,B08
R,45536.018217592595,45536.0425,50H06713,26323931,50R02241,06713,SKHU6351557,4500,HBCX,R39539244,G02,G04
R,45536.0184375,45536.0324537037,50H05798,26323932,50RM02868,05798,MSDU8862676,4500,HBCX,R39539247,G02,G04
R,45536.01861111111,45536.02663194444,51C25897,26323933,51R10423,25897,CAAU2424537,2200,HBCX,R39539249,A03,A05
D,45536.01871527778,45536.030543981484,51D63818,26323934,51R31757,63818,WFHU5178397,4500,GTHA,D39539248,B02,B08
R,45536.01881944444,45536.03637731481,65H00485,26323935,65R00891,00485,HLBU9964194,4530,HBCX,R39539251,D02,G04
D,45536.018854166665,45536.03208333333,70G00288,26323936,70R02390,00288,TIIU5130552,4500,GTHA,D39539250,B02,B08
R,45536.01893518519,45536.03202546296,50H01539,26323937,51R7555,01539,TIIU5329138,4500,HBCX,R39539253,B02,B08
R,45536.01907407407,45536.04420138889,51D42390,26323938,51R21628,42390,SITU4919153,4530,HBCX,R39539254,D02,B08
R,45536.019479166665,45536.02653935185,70C05751,26323939,70R00921,05751,TRHU2294515,2200,HBCX,R39539256,A02,B08
R,45536.01976851852,45536.059641203705,65C01621,26323940,65R00028,01621,EMCU5396360,4530,HBCX,R39539258,D02,B08
R,45536.01980324074,45536.03252314815,50LD18649,26323941,50R03294,18649,HLHU8377738,4500,HBCX,R39539260,A03,B08
R,45536.02002314815,45536.04765046296,50H43472,26323942,51R25542,43472,HASU5097461,4500,HBCX,R39539222,G02,B08
R,45536.02017361111,45536.05673611111,50H35837,26323943,,35837,DFSU3185107,2200,NHAR,R39539201,E02,E10
